Site,Block,Rep,Family,SeedID,Provenance,HT0,HT2,HT7,HT9,HT 12,DBH7,DBH9,DBH12,Quality_12,X2Yrelativeheight,X7Yrelativeheight,X9Yrelativeheight,X12Yrelativeheight,X9Yrelativedbh,X12Yrelativedbh
Corcovety,1,1,1,AF,Derryteigeroe,0.38,1.88,7,8.2,10.2,8.1,9.7,12.2,3,0.75,0.945714286,0.868888889,0.818333333,0.8,0.82
Corcovety,1,1,1,AG,Derryteigeroe,0.38,1.47,7.2,8,9.8,9.1,10.5,13.4,4,0.545,0.974285714,0.846666667,0.785,0.7,0.86
Corcovety,1,1,1,AK,Derryteigeroe,0.45,0.93,3.8,,,2.6,,,,0.24,0.478571429,,,,
Corcovety,1,1,1,AP,Derryteigeroe,0.48,1.3,4.8,,,2.5,,,,0.41,0.617142857,,,,
Corcovety,1,1,1,AS,Derryteigeroe,0.33,1.29,,,,2.6,,,,0.48,,,,,
Corcovety,1,1,1,G,Derryteigeroe,0.3,0.67,,,,2.4,,,,0.185,,,,,
Corcovety,1,1,1,GO,Derryteigeroe,0.48,1.31,6.7,7.8,9.7,5.5,6.7,9,4,0.4175,0.889285714,0.813888889,0.76875,0.6,0.7
Corcovety,1,1,1,GS,Derryteigeroe,0.44,1.9,6.6,7.5,9.3,6.4,7.3,9.5,4,0.73,0.88,0.784444444,0.738333333,0.45,0.62
Corcovety,1,1,1,GV,Derryteigeroe,0.43,2.03,6.9,7.6,10.1,9.5,11,13,3,0.8,0.924285714,0.796666667,0.805833333,0.75,0.7
Corcovety,2,2,1,AB(gn),Derryteigeroe,0.52,,,,,2.7,,,,,,,,,
Corcovety,2,2,1,AH(gk),Derryteigeroe,0.56,,,,,2.9,,,,,,,,,
Corcovety,2,2,1,AJ,Derryteigeroe,0.49,1.53,5.6,6.4,9.2,6.8,7.5,8.2,4,0.52,0.73,0.656666667,0.725833333,0.35,0.28
Corcovety,2,2,1,AN,Derryteigeroe,0.47,1.88,7.2,8.2,11.4,10,11.4,13.7,3,0.705,0.961428571,0.858888889,0.910833333,0.7,0.74
Corcovety,2,2,1,AO,Derryteigeroe,0.54,1.15,4.5,,,2.7,,,,0.305,0.565714286,,,,
Corcovety,2,2,1,FZ,Derryteigeroe,0.52,1.97,6.6,7.8,10.9,8.5,9.4,11.5,3,0.725,0.868571429,0.808888889,0.865,0.45,0.6
Corcovety,2,2,1,GC,Derryteigeroe,0.42,1.41,6.9,7.8,11.3,9.5,10.8,12.1,3,0.495,0.925714286,0.82,0.906666667,0.65,0.52
Corcovety,2,2,1,GJ,Derryteigeroe,0.52,1.94,6.2,7.2,10.4,8.2,9.1,10.8,3,0.71,0.811428571,0.742222222,0.823333333,0.45,0.52
Corcovety,2,2,1,GQ,Derryteigeroe,0.52,2.12,7.4,8.5,11,10.6,11.7,14,3,0.8025,0.983571429,0.887222222,0.87375,0.55,0.68
Corcovety,4,3,1,AZ,Derryteigeroe,0.42,1.89,6.3,7.6,10.5,8.6,10.2,11.7,3,0.735,0.84,0.797777778,0.84,0.8,0.62
Corcovety,4,3,1,B,Derryteigeroe,0.46,1.22,6.1,8.5,9.9,6.8,7.3,7.7,4,0.38,0.805714286,0.893333333,0.786666667,0.25,0.18
Corcovety,4,3,1,CT,Derryteigeroe,0.56,2.33,6.8,8.3,10.8,9.5,11.3,13.3,3,0.885,0.891428571,0.86,0.853333333,0.9,0.76
Corcovety,4,3,1,CX,Derryteigeroe,0.42,1.53,6.1,7.4,9.7,6,7,8.1,4,0.555,0.811428571,0.775555556,0.773333333,0.5,0.42
Corcovety,4,3,1,F,Derryteigeroe,0.47,2.15,6.3,9.3,10.2,7.6,8.9,11.5,3,0.84,0.832857143,0.981111111,0.810833333,0.65,0.78
Corcovety,4,3,1,GZ,Derryteigeroe,0.55,1.72,6.3,8.1,11.2,8.8,10.4,14,4,0.585,0.821428571,0.838888889,0.8875,0.8,1.04
Corcovety,4,3,1,N,Derryteigeroe,0.28,2,6.7,8.2,11.4,9.2,10.7,13.9,4,0.86,0.917142857,0.88,0.926666667,0.75,0.94
Corcovety,4,3,1,Q,Derryteigeroe,0.41,1.58,6.2,7.4,9.4,7.2,8.4,9.6,4,0.585,0.827142857,0.776666667,0.749166667,0.6,0.48
Corcovety,4,3,1,U,Derryteigeroe,0.39,1.1,6.1,8.6,10.2,7.3,8.2,9.7,4,0.355,0.815714286,0.912222222,0.8175,0.45,0.48
Corcovety,1,1,2,DS,Derryteigeroe,0.34,1.55,5.4,6.5,7.2,4.9,5,5.2,4,0.605,0.722857143,0.684444444,0.571666667,0.05,0.06
Corcovety,1,1,2,DT,Derryteigeroe,0.22,1.36,5.8,6.9,9.5,8,9.7,12,3,0.57,0.797142857,0.742222222,0.773333333,0.85,0.8
Corcovety,1,1,2,DX,Derryteigeroe,0.2,1.95,6.4,7.4,8.7,7,8.7,11,4,0.875,0.885714286,0.8,0.708333333,0.85,0.8
Corcovety,1,1,2,DY,Derryteigeroe,0.31,1.66,5.6,7.6,9.3,5.7,6.4,8.5,4,0.675,0.755714286,0.81,0.749166667,0.35,0.56
Corcovety,1,1,2,EB,Derryteigeroe,0.3,,,,,2.9,,,,,,,,,
Corcovety,1,1,2,EC,Derryteigeroe,0.28,0.93,4.3,5.1,,4.1,5.3,,,0.3275,0.575,0.536111111,,0.6,
Corcovety,1,1,2,ED,Derryteigeroe,0.41,1.66,6.5,7.8,9.5,9.8,11.2,13,3,0.625,0.87,0.821111111,0.7575,0.7,0.64
Corcovety,1,1,2,EH,Derryteigeroe,0.42,0.87,5.6,6.9,8,5.6,6,6.7,4,0.225,0.74,0.72,0.631666667,0.2,0.22
Corcovety,1,1,2,FC,Derryteigeroe,0.32,0.96,4.9,6,,5,5.8,,,0.32,0.654285714,0.631111111,,0.4,
Corcovety,2,2,2,CZ(fk),Derryteigeroe,0.38,,,,,2.9,,,,,,,,,
Corcovety,2,2,2,DW,Derryteigeroe,0.36,1.68,6.8,8.4,10.3,9,10.2,11.7,3,0.66,0.92,0.893333333,0.828333333,0.6,0.54
Corcovety,2,2,2,EA,Derryteigeroe,0.51,1.66,6.1,7.6,9.8,9.5,11.1,13,3,0.575,0.798571429,0.787777778,0.774166667,0.8,0.7
Corcovety,2,2,2,EW,Derryteigeroe,0.45,1.64,7,8.9,10.1,8.6,10.1,12.7,4,0.595,0.935714286,0.938888889,0.804166667,0.75,0.82
Corcovety,2,2,2,FA,Derryteigeroe,0.35,1.83,7.3,8.5,10.6,8.6,9.7,12.2,3,0.74,0.992857143,0.905555556,0.854166667,0.55,0.72
Corcovety,2,2,2,FE,Derryteigeroe,0.56,1.91,6.3,7.6,10.4,8.3,11.7,13.6,4,0.675,0.82,0.782222222,0.82,1.7,1.06
Corcovety,2,2,2,FG,Derryteigeroe,0.5,1.71,6.7,9,10.9,10.8,12.1,15.3,2,0.605,0.885714286,0.944444444,0.866666667,0.65,0.9
Corcovety,2,2,2,FI,Derryteigeroe,0.37,1.61,6.7,8,10.8,8.6,10.4,13.1,3,0.62,0.904285714,0.847777778,0.869166667,0.9,0.9
Corcovety,2,2,2,FM,Derryteigeroe,0.31,1.49,5.6,7.1,9.2,7,7.3,7.5,4,0.59,0.755714286,0.754444444,0.740833333,0.15,0.1
Corcovety,4,3,2,DJ,Derryteigeroe,0.59,1.5,6.5,8,10.4,8.9,9.6,11.4,3,0.455,0.844285714,0.823333333,0.8175,0.35,0.5
Corcovety,4,3,2,DK,Derryteigeroe,0.55,1.52,7.1,8.3,10.9,8.7,10.2,12.6,3,0.485,0.935714286,0.861111111,0.8625,0.75,0.78
Corcovety,4,3,2,DN,Derryteigeroe,0.63,0.75,,,,3,,,,0.06,,,,,
Corcovety,4,3,2,DO,Derryteigeroe,0.63,1.7,6.9,8.7,11,9.3,10.8,13.2,3,0.535,0.895714286,0.896666667,0.864166667,0.75,0.78
Corcovety,4,3,2,FO,Derryteigeroe,0.49,1.78,6.5,8.5,10.7,9.2,10.6,12.1,3,0.645,0.858571429,0.89,0.850833333,0.7,0.58
Corcovety,4,3,2,FS,Derryteigeroe,0.73,1.7,7.7,9.2,11.4,6.9,8.1,9.8,3,0.485,0.995714286,0.941111111,0.889166667,0.6,0.58
Corcovety,4,3,2,FV,Derryteigeroe,0.43,1.7,7.3,8.4,11,6.7,8.1,10.4,3,0.635,0.981428571,0.885555556,0.880833333,0.7,0.74
Corcovety,4,3,2,FW,Derryteigeroe,0.47,1.4,6.3,7.7,9.7,7.2,8.2,9.3,4,0.465,0.832857143,0.803333333,0.769166667,0.5,0.42
Corcovety,4,3,2,FZ,Derryteigeroe,0.41,1.22,5.3,7.1,9.6,6.9,7.1,7.4,4,0.405,0.698571429,0.743333333,0.765833333,0.1,0.1
Corcovety,1,1,3,BE,Derryteigeroe,0.53,2.54,8,8.9,11.5,11,12.6,15,3,1.005,1.067142857,0.93,0.914166667,0.8,0.8
Corcovety,1,1,3,EW,Derryteigeroe,0.41,2.4,7.9,9.5,11.7,3.9,4,,3,0.995,1.07,1.01,0.940833333,0.05,
Corcovety,1,1,3,FM,Derryteigeroe,0.59,2.15,7.5,8.9,11.3,7.9,9.6,12.6,4,0.78,0.987142857,0.923333333,0.8925,0.85,0.94
Corcovety,1,1,3,FP,Derryteigeroe,0.66,1.1,,,,3,,,,0.22,,,,,
Corcovety,1,1,3,FT,Derryteigeroe,0.56,1.84,7.4,8.8,11.2,9,10.5,13.6,3,0.64,0.977142857,0.915555556,0.886666667,0.75,0.92
Corcovety,1,1,3,FX,Derryteigeroe,0.51,2.54,7.8,9.3,11.5,8.4,10.1,12.9,4,1.0175,1.042142857,0.977222222,0.91625,0.85,0.9
Corcovety,1,1,3,GB,Derryteigeroe,0.63,2.13,7.9,9.3,11.5,9.6,10.9,13.1,3,0.75,1.038571429,0.963333333,0.905833333,0.65,0.7
Corcovety,1,1,3,GF,Derryteigeroe,0.47,2.01,7.6,9.3,11.8,9.8,11.6,12.7,3,0.77,1.018571429,0.981111111,0.944166667,0.9,0.58
Corcovety,1,1,3,GJ,Derryteigeroe,0.56,2.27,8,8.6,10.6,8.5,9.5,11.2,4,0.855,1.062857143,0.893333333,0.836666667,0.5,0.54
Corcovety,2,2,3,EG,Derryteigeroe,0.16,1.91,7.4,8.7,11.6,9.5,10.6,13,3,0.875,1.034285714,0.948888889,0.953333333,0.55,0.7
Corcovety,2,2,3,EK,Derryteigeroe,0.47,1.94,7.2,7.8,10.8,8.6,9.2,9.7,4,0.735,0.961428571,0.814444444,0.860833333,0.3,0.22
Corcovety,2,2,3,EO,Derryteigeroe,0.56,2.02,8.7,9.6,12,9.3,11.1,14,3,0.73,1.162857143,1.004444444,0.953333333,0.9,0.94
Corcovety,2,2,3,ES,Derryteigeroe,0.51,2.1,7.6,8.7,11.3,8,9.8,11.9,4,0.795,1.012857143,0.91,0.899166667,0.9,0.78
Corcovety,2,2,3,GK,Derryteigeroe,0.43,1.99,8,8.5,12.2,10.4,12,13.7,3,0.78,1.081428571,0.896666667,0.980833333,0.8,0.66
Corcovety,2,2,3,GN,Derryteigeroe,0.83,2.24,7.5,9.1,10.9,8.9,9.8,11.8,3,0.705,0.952857143,0.918888889,0.839166667,0.45,0.58
Corcovety,2,2,3,GO,Derryteigeroe,0.74,2.11,8,9,12.2,10.8,14,15.8,3,0.685,1.037142857,0.917777778,0.955,1.6,1
Corcovety,2,2,3,GR,Derryteigeroe,0.48,1.62,7.1,7.6,10.1,9.4,10.4,12.2,4,0.5725,0.946428571,0.791666667,0.802083333,0.5,0.56
Corcovety,2,2,3,GV,Derryteigeroe,0.53,1.84,6.3,7.7,9.4,7.1,7.4,8.3,4,0.655,0.824285714,0.796666667,0.739166667,0.15,0.24
Corcovety,4,3,3,AJ,Derryteigeroe,0.52,1.42,7.7,8.4,10.4,3.4,3.5,,3,0.45,1.025714286,0.875555556,0.823333333,0.05,
Corcovety,4,3,3,AL,Derryteigeroe,0.55,1.26,5.4,6.8,9.2,6.5,7.8,9.8,4,0.355,0.692857143,0.694444444,0.720833333,0.65,0.66
Corcovety,4,3,3,AS,Derryteigeroe,0.41,1.5,6,7.4,9.3,10.9,12.4,14.4,4,0.545,0.798571429,0.776666667,0.740833333,0.75,0.7
Corcovety,4,3,3,EE(ay),Derryteigeroe,0.48,,,,,3.3,,,,,,,,,
Corcovety,4,3,3,EN,Derryteigeroe,0.54,1.43,6.3,7.8,9.7,10,11.1,12.2,4,0.445,0.822857143,0.806666667,0.763333333,0.55,0.44
Corcovety,4,3,3,EZ,Derryteigeroe,0.59,1.76,6.1,7.3,9.4,7.9,9.7,12.6,3,0.585,0.787142857,0.745555556,0.734166667,0.9,0.94
Corcovety,4,3,3,FH,Derryteigeroe,0.49,0.75,4.9,6,8.2,5.9,6,6.1,4,0.13,0.63,0.612222222,0.6425,0.05,0.04
Corcovety,4,3,3,FL,Derryteigeroe,0.28,0.87,6.2,7.5,9.8,7.1,8.7,11.3,4,0.295,0.845714286,0.802222222,0.793333333,0.8,0.84
Corcovety,4,3,3,GX,Derryteigeroe,0.34,,,,,3.1,,,,,,,,,
Corcovety,1,1,4,F,Derryteigeroe,0.36,1.51,6.5,7,7.2,6.8,,7.5,4,0.575,0.877142857,0.737777778,0.57,,0.14
Corcovety,1,1,4,I,Derryteigeroe,0.38,1.78,6.3,7.4,9.6,7.5,8.2,9.4,4,0.7025,0.846428571,0.780555556,0.76875,0.35,0.38
Corcovety,1,1,4,J,Derryteigeroe,0.48,1.5,6.2,7.1,7.9,4,5.5,6.9,4,0.51,0.817142857,0.735555556,0.618333333,0.75,0.58
Corcovety,1,1,4,M,Derryteigeroe,0.53,2.23,7.5,9,10.7,8.6,10.5,12.5,2,0.8525,0.996428571,0.941666667,0.847916667,0.95,0.78
Corcovety,1,1,4,N,Derryteigeroe,0.46,1.29,5.9,,,3.4,,,,0.415,0.777142857,,,,
Corcovety,1,1,4,Q,Derryteigeroe,0.6,1.93,6.5,8.3,10.5,8.1,8.9,9.5,4,0.665,0.842857143,0.855555556,0.825,0.4,0.28
Corcovety,1,1,4,U,Derryteigeroe,0.33,2,7.4,8.7,11.3,10,11.3,13.4,4,0.835,1.01,0.93,0.914166667,0.65,0.68
Corcovety,1,1,4,V,Derryteigeroe,0.34,1.5,4.3,5.2,,5.4,6.6,,,0.58,0.565714286,0.54,,0.6,
Corcovety,1,1,4,Y,Derryteigeroe,0.4,1.92,7.1,8.4,11.2,9.6,11.3,13.6,4,0.76,0.957142857,0.888888889,0.9,0.85,0.8
Corcovety,2,2,4,A,Derryteigeroe,0.62,1.05,5.4,6.2,,4.5,5.4,,,0.215,0.682857143,0.62,,0.45,
Corcovety,2,2,4,B,Derryteigeroe,0.31,1.5,7.1,8.2,10.8,8.7,10,12.3,3,0.595,0.97,0.876666667,0.874166667,0.65,0.72
Corcovety,2,2,4,CF,Derryteigeroe,0.47,1.89,7.4,8.8,11.3,9.3,10.3,11.9,3,0.71,0.99,0.925555556,0.9025,0.5,0.52
Corcovety,2,2,4,CR,Derryteigeroe,0.37,2.3,8.1,9.1,12,3.3,3.5,,4,0.965,1.104285714,0.97,0.969166667,0.1,
Corcovety,2,2,4,CV,Derryteigeroe,0.36,1.58,7.2,8,10.7,9,9.8,11.7,2,0.61,0.977142857,0.848888889,0.861666667,0.4,0.54
Corcovety,2,2,4,CV,Derryteigeroe,0.32,1.53,6.9,8.4,10.9,9.6,10.9,13.4,3,0.6075,0.940714286,0.898333333,0.882083333,0.65,0.76
Corcovety,2,2,4,CZ,Derryteigeroe,0.45,1.88,6.2,7.3,10.2,9.2,11.5,14.5,3,0.715,0.821428571,0.761111111,0.8125,1.15,1.06
Corcovety,2,2,4,DO(dd),Derryteigeroe,0.41,,,,,3.5,,,,,,,,,
Corcovety,2,2,4,E,Derryteigeroe,0.47,1.78,6.6,7.9,10.1,9,10,12.1,3,0.655,0.875714286,0.825555556,0.8025,0.5,0.62
Corcovety,4,3,4,AE,Derryteigeroe,0.38,1.45,,,,3.6,,,,0.535,,,,,
Corcovety,4,3,4,AJ,Derryteigeroe,0.38,1.64,6.7,7.1,7.6,6.3,7.7,9.8,4,0.63,0.902857143,0.746666667,0.601666667,0.7,0.7
Corcovety,4,3,4,DE,Derryteigeroe,0.44,1.81,6.1,7.5,9.3,8.2,9.6,11.6,3,0.6875,0.809285714,0.785,0.73875,0.7,0.68
Corcovety,4,3,4,DF,Derryteigeroe,0.53,1.7,6.6,7.6,9.3,9.3,10.2,12,3,0.585,0.867142857,0.785555556,0.730833333,0.45,0.54
Corcovety,4,3,4,FA(d),Derryteigeroe,0.55,,,,,4,,,4,,,,,,
Corcovety,4,3,4,FJ(aa),Derryteigeroe,0.64,,,,,3.6,,,,,,,,,
Corcovety,4,3,4,H,Derryteigeroe,0.37,1.01,6,7.3,9.3,9,9.8,11.1,3,0.32,0.804285714,0.77,0.744166667,0.4,0.42
Corcovety,4,3,4,L,Derryteigeroe,0.51,1.84,6.8,7.6,9.4,9.2,10.2,12.4,3,0.665,0.898571429,0.787777778,0.740833333,0.5,0.64
Corcovety,4,3,4,O(x),Derryteigeroe,0.47,,,,,3.9,,,,,,,,,
Corcovety,1,1,5,DL,Derryteigeroe,0.49,2,7.6,8.4,10.8,7.5,8.8,11.1,4,0.755,1.015714286,0.878888889,0.859166667,0.65,0.72
Corcovety,1,1,5,DP,Derryteigeroe,0.56,1.91,7.1,8.2,8.8,6,6.5,7,4,0.675,0.934285714,0.848888889,0.686666667,0.25,0.2
Corcovety,1,1,5,DT,Derryteigeroe,0.32,1.87,6.6,7.3,7.9,5.2,,5.2,4,0.775,0.897142857,0.775555556,0.631666667,,
Corcovety,1,1,5,DY,Derryteigeroe,0.25,2,7.8,8.8,11.1,8.6,10.3,13.2,3,0.875,1.078571429,0.95,0.904166667,0.85,0.92
Corcovety,1,1,5,EC,Derryteigeroe,0.44,1.91,6.2,7.2,8.7,5.3,6.1,7.5,4,0.735,0.822857143,0.751111111,0.688333333,0.4,0.44
Corcovety,1,1,5,EG,Derryteigeroe,0.46,2.32,7.7,8.6,11.9,10.7,12.8,16.3,3,0.93,1.034285714,0.904444444,0.953333333,1.05,1.12
Corcovety,1,1,5,EL,Derryteigeroe,0.26,1.49,6.3,7.4,9.7,6,6,6.1,4,0.615,0.862857143,0.793333333,0.786666667,,0.02
Corcovety,1,1,5,EP,Derryteigeroe,0.35,2.38,8.4,9.1,11.3,10.4,12.1,15.2,3,1.015,1.15,0.972222222,0.9125,0.85,0.96
Corcovety,1,1,5,FB,Derryteigeroe,0.26,1.61,6.4,7.6,10.6,8.5,9,10.4,4,0.675,0.877142857,0.815555556,0.861666667,0.25,0.38
Corcovety,2,2,5,DK,Derryteigeroe,0.65,1.75,5.6,6.7,8.8,8.4,9.4,10.3,4,0.55,0.707142857,0.672222222,0.679166667,0.5,0.38
Corcovety,2,2,5,DO,Derryteigeroe,0.42,1.57,5.6,6.8,9.3,8.1,9.3,10.8,4,0.575,0.74,0.708888889,0.74,0.6,0.54
Corcovety,2,2,5,DW,Derryteigeroe,0.61,1.15,5.4,6.4,9.5,6.5,8.1,10,4,0.27,0.684285714,0.643333333,0.740833333,0.8,0.7
Corcovety,2,2,5,FU(bb),Derryteigeroe,0.68,,,,,4.1,,,,,,,,,
Corcovety,2,2,5,GA,Derryteigeroe,0.66,1.76,5.2,6.6,9.1,8.1,8.7,9.4,4,0.55,0.648571429,0.66,0.703333333,0.3,0.26
Corcovety,2,2,5,GM,Derryteigeroe,0.63,1.91,5.6,6.7,8.8,5.8,6.9,7.8,4,0.6425,0.710714286,0.675,0.68125,0.55,0.4
Corcovety,2,2,5,GQ,Derryteigeroe,0.56,0.75,3.2,4.2,,6.2,,,,0.095,0.377142857,0.404444444,,,
Corcovety,2,2,5,GU,Derryteigeroe,0.52,1.86,6.1,7,10.1,8,9.4,11.5,4,0.67,0.797142857,0.72,0.798333333,0.7,0.7
Corcovety,2,2,5,GY,Derryteigeroe,0.69,1.9,6.6,7.8,10.5,8.3,10.4,13.2,3,0.605,0.844285714,0.79,0.8175,1.05,0.98
Corcovety,3,3,5,DJ,Derryteigeroe,0.55,2.27,7.3,8.8,10.8,10.1,11.5,14.5,4,0.86,0.964285714,0.916666667,0.854166667,0.7,0.88
Corcovety,3,3,5,DR,Derryteigeroe,0.28,1.77,8.1,9.8,11.9,9.5,11.4,13.7,3,0.745,1.117142857,1.057777778,0.968333333,0.95,0.84
Corcovety,3,3,5,DV,Derryteigeroe,0.55,2.06,7.4,8.5,10.9,3.5,3.9,,4,0.755,0.978571429,0.883333333,0.8625,0.2,
Corcovety,3,3,5,ED,Derryteigeroe,0.34,1.41,5.8,7.2,6.9,4.3,4.3,4.5,4,0.535,0.78,0.762222222,0.546666667,,0.04
Corcovety,3,3,5,FQ(dz),Derryteigeroe,0.32,,,,,4.1,,,,,,,,,
Corcovety,3,3,5,I,Derryteigeroe,0.56,2.3,7.2,8.3,10.4,10.6,11.7,15.3,3,0.87,0.948571429,0.86,0.82,0.55,0.94
Corcovety,3,3,5,J,Derryteigeroe,0.46,1.84,7.3,8.6,11,7.3,8.9,11.3,3,0.69,0.977142857,0.904444444,0.878333333,0.8,0.8
Corcovety,3,3,5,L,Derryteigeroe,0.4,1.83,7.8,8.6,11,10,10.9,13.1,3,0.715,1.057142857,0.911111111,0.883333333,0.45,0.62
Corcovety,3,3,5,M,Derryteigeroe,0.53,2.55,7.6,9.1,10.3,11.8,13,15.4,3,1.01,1.01,0.952222222,0.814166667,0.6,0.72
Corcovety,1,1,6,DU,Derryteigeroe,0.4,1.63,6.4,7.8,10.6,9,10.3,12.5,3,0.6175,0.857857143,0.822777778,0.850416667,0.65,0.7
Corcovety,1,1,6,DW,Derryteigeroe,0.62,1.92,7.1,8.5,10.8,11.5,13.2,15.5,4,0.65,0.925714286,0.875555556,0.848333333,0.85,0.8
Corcovety,1,1,6,DX,Derryteigeroe,0.51,1.52,6.3,7.9,9.8,6,6.4,7.5,4,0.505,0.827142857,0.821111111,0.774166667,0.2,0.3
Corcovety,1,1,6,DY,Derryteigeroe,0.4,1.75,6.6,8,10.2,8.1,8.7,9.5,4,0.675,0.885714286,0.844444444,0.816666667,0.3,0.28
Corcovety,1,1,6,EB,Derryteigeroe,0.64,1.53,6.8,8.3,10,8.5,9.3,9.9,3,0.445,0.88,0.851111111,0.78,0.4,0.28
Corcovety,1,1,6,EC,Derryteigeroe,0.63,2.55,7.7,9,11.3,13.6,15.2,17.3,3,0.96,1.01,0.93,0.889166667,0.8,0.74
Corcovety,1,1,6,EG,Derryteigeroe,0.43,2.14,7,8.7,10.5,11.1,12.5,15.2,3,0.8575,0.939285714,0.919444444,0.839583333,0.7,0.82
Corcovety,1,1,6,FN,Derryteigeroe,0.51,1.99,6.5,7.3,,6.8,7.3,,,0.74,0.855714286,0.754444444,,0.25,
Corcovety,1,1,6,FP,Derryteigeroe,0.56,1.25,6.4,7.4,10.3,7.8,8.8,10,4,0.345,0.834285714,0.76,0.811666667,0.5,0.44
Corcovety,2,2,6,AG,Derryteigeroe,0.63,1.73,5.9,7.4,10.1,8.6,9.5,11.2,4,0.55,0.752857143,0.752222222,0.789166667,0.45,0.52
Corcovety,2,2,6,AO,Derryteigeroe,0.37,1.32,5.8,7.4,9.5,5,5.9,7.2,4,0.475,0.775714286,0.781111111,0.760833333,0.45,0.44
Corcovety,2,2,6,AS,Derryteigeroe,0.42,1.03,4.2,,,4.3,,,,0.305,0.54,,,,
Corcovety,2,2,6,AW,Derryteigeroe,0.64,2.08,7.1,8.1,11.5,9,11,14.5,3,0.7225,0.923571429,0.829444444,0.905416667,1,1.1
Corcovety,2,2,6,BE,Derryteigeroe,0.32,0.92,5.2,6.6,9.6,6.4,7.3,8,4,0.3,0.697142857,0.697777778,0.773333333,0.45,0.32
Corcovety,2,2,6,BI,Derryteigeroe,0.35,1.56,6.4,7.7,10.8,8.8,9.7,12.2,3,0.605,0.864285714,0.816666667,0.870833333,0.45,0.68
Corcovety,2,2,6,CP,Derryteigeroe,0.67,2.16,7.7,8.3,11.4,11.9,14.3,17.7,3,0.745,1.004285714,0.847777778,0.894166667,1.2,1.16
Corcovety,2,2,6,CT,Derryteigeroe,0.48,1.44,5,6.4,8.6,5.4,5.8,6,4,0.4825,0.646428571,0.658333333,0.677083333,0.2,0.12
Corcovety,2,2,6,CX,Derryteigeroe,0.8,1.99,7.3,8.1,11.6,2,2.9,,3,0.5975,0.929285714,0.811666667,0.900416667,0.45,
Corcovety,3,3,6,FL,Derryteigeroe,0.53,1.49,6.5,7.8,10.2,7.8,8.7,10.9,4,0.48,0.852857143,0.807777778,0.805833333,0.45,0.62
Corcovety,3,3,6,FT,Derryteigeroe,0.48,1.47,5.5,7.2,8.7,,,6.5,4,0.495,0.717142857,0.746666667,0.685,,1.3
Corcovety,3,3,6,FX,Derryteigeroe,0.54,1.23,4.7,5.7,,6.1,6.2,,,0.345,0.594285714,0.573333333,,0.05,
Corcovety,3,3,6,GF,Derryteigeroe,0.56,1.79,6.7,7.8,10.8,11,13.8,14.4,4,0.615,0.877142857,0.804444444,0.853333333,1.4,0.68
Corcovety,3,3,6,GJ,Derryteigeroe,0.5,1.78,6.7,8,10.5,8.2,9.6,10.7,2,0.64,0.885714286,0.833333333,0.833333333,0.7,0.5
Corcovety,3,3,6,GR,Derryteigeroe,0.44,1.73,7.4,8.3,11.1,10.2,11.5,13.7,4,0.6475,0.995,0.873888889,0.88875,0.65,0.7
Corcovety,3,3,6,GV,Derryteigeroe,0.41,1.63,6.4,7.8,10.1,8.9,10,10.9,3,0.61,0.855714286,0.821111111,0.8075,0.55,0.4
Corcovety,3,3,6,GZ,Derryteigeroe,0.64,1.4,6.4,7.8,10.4,9.6,11.4,13.1,4,0.38,0.822857143,0.795555556,0.813333333,0.9,0.7
Corcovety,3,3,6,Q,Derryteigeroe,0.32,1.44,,,,4.5,,,,0.56,,,,,
Corcovety,1,1,7,AD,Corsallagh,0.76,2.26,6.9,8.4,10.4,9.2,10.8,13.5,4,0.75,0.877142857,0.848888889,0.803333333,0.8,0.86
Corcovety,1,1,7,AH,Corsallagh,0.51,1.91,7.3,8.1,11.1,10,11.1,11.8,4,0.7,0.97,0.843333333,0.8825,0.55,0.36
Corcovety,1,1,7,AL,Corsallagh,0.45,1.91,7,8.2,10.9,11,12.5,14.3,3,0.73,0.935714286,0.861111111,0.870833333,0.75,0.66
Corcovety,1,1,7,AT,Corsallagh,0.3,2.38,7.1,8.9,11.4,9.7,11.6,13.8,3,1.04,0.971428571,0.955555556,0.925,0.95,0.82
Corcovety,1,1,7,AV,Corsallagh,0.61,1.85,7.1,8.5,10.6,9.5,11,13.3,4,0.62,0.927142857,0.876666667,0.8325,0.75,0.76
Corcovety,1,1,7,AX,Corsallagh,0.58,1.79,7.6,8.7,10.1,9.6,11,12.9,4,0.605,1.002857143,0.902222222,0.793333333,0.7,0.66
Corcovety,1,1,7,BF,Corsallagh,0.43,1.99,6.9,8.4,10.3,8.2,9.7,11.7,3,0.78,0.924285714,0.885555556,0.8225,0.75,0.7
Corcovety,1,1,7,BH,Corsallagh,0.48,1.68,7,8.5,10.7,8.5,9.5,11.8,4,0.6,0.931428571,0.891111111,0.851666667,0.5,0.66
Corcovety,1,1,7,BJ,Corsallagh,0.44,1.76,7.5,8.6,11.5,10.3,11.9,14.1,3,0.66,1.008571429,0.906666667,0.921666667,0.8,0.76
Corcovety,2,2,7,CB,Corsallagh,0.74,1.1,5.4,7.3,9.7,7.6,8.5,9.1,4,0.1825,0.666428571,0.729444444,0.747083333,0.45,0.3
Corcovety,2,2,7,DY(gc),Corsallagh,0.5,,,,,4.5,,,,,,,,,
